image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x1838C50C050>,is there a pneumothorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x1838C50C190>,what side are the infarcts located?,bilateral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x1838C50C2D0>,where are the infarcts seen?,bilateral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C50C410>,are the pulmonary arteries enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C50C550>,do the pulmonary arteries appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1838C50C690>,is this an mri?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x1838C50C7D0>,how would you describe the lesions?,loculated
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x1838C50C910>,is there evidence of portal venous congestion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x1838C50CA50>,what is one adjective to describe the lesion(s)?,loculated
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1838C50CB90>,are the lesions in the cerebellum?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x1838C50CCD0>,what kind of image is this?,chest x ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x1838C50CE10>,what modality is this?,chest x ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x1838C50CF50>,are the findings normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x1838C50D090>,is this a normal image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x1838C50D1D0>,where is the enhancement in right rectus muscles?,medial and lateral rectus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x1838C50D310>,which rectus muscles are enhanced on the right?,medial and lateral rectus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x1838C50D450>,is this normal gallbladder finding?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x1838C50D590>,does the lesion demonstrate ring enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x1838C50D6D0>,is the portal vein engorged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x1838C50D810>,is this lesion ring enhancing?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x1838C50D950>,is there evidence of calcification?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x1838C50DA90>,is the mass calcified?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x1838C50DBD0>,what is the location of the mass?,pineal gland
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x1838C50DD10>,where is the mass located?,pineal gland
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x758 at 0x1838C50DE50>,do you always recommend using both iv and oral contrast?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C50DF90>,are the lungs hyperinflated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1838C50E0D0>,do the lungs appear hyperinflated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x1838C50E210>,the air fluid level is in which location?,cardiac region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x1838C50E350>,where is there an air fluid level?,cardiac region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1838C50E490>,is there evidence of an aortic aneurysm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x1838C50E5D0>,is the plane of section transverse?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x1838C50E710>,do you see dependent layering in the occipital horns of the lateral ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x1838C50E850>,is there dependent layering in the occipital horns of the lateral ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x1838C50E990>,what do the hyperdensities represent?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x532 at 0x1838C50EAD0>,what are the hyperdensities indicative of?,infarct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=988x728 at 0x1838C50EC10>,what could cause this finding?,congenital developmental disorder? history of surgery and past manipulation?
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x1838C50ED50>,what type of image modality is this?,mr flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x1838C50EE90>,which image modality is this?,mr flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x1838C50EFD0>,how is the image oriented?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1012 at 0x1838C50F110>,what plane is this x-ray in?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x1838C50F250>,are the enhanced muscles also enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x1838C50F390>,is the liver parenchyma normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x367 at 0x1838C50F4D0>,do the enhanced muscles appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1838C50F610>,what side of the abdomen is the aorta on?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1838C50F750>,where is the aorta located relative to the midline?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x1838C50F890>,which side is abnormal?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x1838C50F9D0>,which lung has a defect?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x1838C50FB10>,what area is abnormal?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x1838C50FC50>,where is/are the abnormality located?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x1838C50FD90>,in which area of the brain are the infarcts found?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x1838C50FED0>,where are the infarcts located?,right cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x183BC900050>,what organ systems can be evaluated with this image?,respiratory 	cardia c	musculoskeletal
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC900190>,is the liver parenchyma homogenous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x183BC9002D0>,what side is the lesion located on?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x183BC900410>,where is the lesion?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x183BC900550>,is the lesion located in gray or white matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=386x386 at 0x183BC900690>,is the lesion seen in the gray or white matter?,white matter
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x183BC9007D0>,are the findings normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x183BC900910>,is this image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x183BC900A50>,how can you tell this is a t2 weighted image?,csf is white
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x183BC900B90>,is this image best taken on expiration?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x183BC900CD0>,what is the best mri weighting for ring enhancing lesions?,t2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x183BC900E10>,what is seen in the occipital lobe?,ring enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC900F50>,is there no evidence of any hypo- or hyperattenuations located in the liver?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x768 at 0x183BC901090>,what is abnormal about the occipital lobe?,ring enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x183BC9011D0>,does the r vertebral artery appear normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x642 at 0x183BC901310>,is the right vertebral artery normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x183BC901450>,what plane is this image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x183BC901590>,which plane is the image shown in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC9016D0>,where are the lesions located?,bilateral cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x183BC901810>,do you see fluid in the left lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=905x1022 at 0x183BC901950>,is there fluid in the left lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x183BC901A90>,where is the lesion located?,left parietal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x469 at 0x183BC901BD0>,which lobe is the lesion in?,left parietal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC901D10>,is the liver parenchyma homogenous and normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x183BC901E50>,does the heart appear normal size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x183BC901F90>,is the width of the cardiac silhouette normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183BC9020D0>,what type of image is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183BC902210>,what image modality is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x183BC902350>,what are the hyperdense findings in the mediastinum?,sternal wires
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1019x1280 at 0x183BC902490>,what are seen as hyperdense in the mediastinum of this image?,sternal wires
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x183BC9025D0>,any evidence of epidural or subdural hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=423x465 at 0x183BC902710>,are there epidural or subdural bleeds as well?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x183BC902850>,is there evidence of hemorrhage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x695 at 0x183BC902990>,is the mass hemorrhagic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183BC902AD0>,was this chest x ray taken in pa format?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x183BC902C10>,what is the abnormality seen above the heart on the patient's right side?,right sided aortic arch
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x183BC902D50>,what is the bump seen above the heart on the patient's right side?,right sided aortic arch
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC902E90>,brain structure shown in this image?,cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC902FD0>,what part of the brain is seen in this image?,cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x183BC903110>,what lobe of the brain is the lesion located in?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x183BC903250>,where is the brain lesion located?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x183BC903390>,in what plane is the above taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x183BC9034D0>,is the image above oriented in the axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC903610>,is this image taken with or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC903750>,was contrast used to take this image?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x183BC903890>,is the stomach thickening regular and uniform or ragged/asymmetrical?,asymmetric
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC9039D0>,are there any bone fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC903B10>,does the patient have any bone fractures?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x183BC903C50>,are the patients' ribs symmetric on both sides?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x183BC903D90>,is there symmetry of the patient's ribs on both sides?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x183BC903ED0>,what is the location of the mass?,sella and suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x183BC934050>,where is the mass located?,sella and suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x183BC934190>,mri imaging modality used for this image?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x183BC9342D0>,what type of mri is used to acquire this image?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC934410>,"the patient's left contains a bright round organ, what is it?",left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC934550>,what is the bright round organ seen on the patient's left?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x183BC934690>,is the stomach wall thickening symmetric or asymmetric?,asymmetric
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x183BC9347D0>,what organ system is shown in the above image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x183BC934910>,what is the organ system in this image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x183BC934A50>,does this image show edema?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x183BC934B90>,is there edema?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x183BC934CD0>,what cranial nerves may be affected by the lesion seen in the above image?,oculomotor nerve (cn iii) and trigeminal nerves (cn v)
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x183BC934E10>,which cranial nerves are possibly affected by this lesion?,oculomotor nerve (cn iii) and trigeminal nerves (cn v)
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC934F50>,is this taken in the axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC935090>,are the colon walls thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC9351D0>,are the walls of the colon thickened?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC935310>,what type of mri is this?,t2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x183BC935450>,is there evidence of ectopic tissue present in surrounding organs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC935590>,what is the modality of this mri?,t2
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x183BC9356D0>,imaging modality used to take this image?,pa xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x183BC935810>,what imaging modality is used to acquire this picture?,pa xray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x183BC935950>,what mri imaging sequence is shown above?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x183BC935A90>,what type of mri is shown in the above image?,t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x183BC935BD0>,is the image an ct scan?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC935D10>,was this image taken with or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC935E50>,was contrast used to take this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x183BC935F90>,did the patient ingest contrast prior to taking this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x183BC9360D0>,was contrast used in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x183BC936210>,is there evidence of metastatic tissue on organs surrounding the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x183BC936350>,does the lesion above enhance?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x418 at 0x183BC936490>,is there enhancement of the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC9365D0>,is the consistency of the abscess located in the left upper quadrant homogeneous or heterogeneous?,heterogeneous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC936710>,is the abscess in the left upper quadrant homogenous or heterogenous?,heterogeneous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x183BC936850>,is there a pneumothorax seen in the above image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x183BC936990>,is there a pneumothorax present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x183BC936AD0>,what ventricle is the lesion compressing?,4th ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x183BC936C10>,which ventricle is compressed by the lesion?,4th ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC936D50>,is this a noncontrast ct?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC936E90>,where do you see a large hematoma?,right lateral ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x183BC936FD0>,where is the abnormality?,left temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x183BC937110>,are lung opacities noted?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC937250>,where is the large hematoma located?,right lateral ventricle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x183BC937390>,what organ system is shown in the above image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x183BC9374D0>,which organ system is shown in the image?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC937610>,mri imaging modality used?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC937750>,what type of mri is the above image?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x183BC937890>,does the image show midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x480 at 0x183BC9379D0>,is there midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x183BC937B10>,does the heart look enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x183BC937C50>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC937D90>,in what plane is the image above captured?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x183BC937ED0>,is there evidence of intraparenchymal lung nodules?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x183BC96C050>,what organ contains multiple lesions in the above image?,kidneys
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=689x688 at 0x183BC96C190>,which organ has multiple lesions?,kidneys
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183BC96C2D0>,is the heart larger than normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183BC96C410>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x183BC96C550>,how was this image taken?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x183BC96C690>,what imaging modality is seen?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC96C7D0>,does this image show midline shift?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC96C910>,is there midline shift in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1157 at 0x183BC96CA50>,what organ system is being imaged?,chest
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x183BC96CB90>,how was this mri taken?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x183BC96CCD0>,are there calcifications in the cerebral arteries?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x576 at 0x183BC96CE10>,what type of mri is this?,dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183BC96CF50>,in which lobes do you see a higher density of masses?,upper lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183BC96D090>,which lobes of the lung contain a higher density of masses?,upper lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC96D1D0>,is there mass shift pathology?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC96D310>,is there any mass shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC96D450>,in what plane is this image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x183BC96D590>,what imaging modality is used?,mri - t1 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1157 at 0x183BC96D6D0>,is this a pa film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC96D810>,are there multiple lesions in the chest of the above patient?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183BC96D950>,does this patient have multiple lesions in their chest?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x183BC96DA90>,is there evidence of calcifications in the cerebral arteries?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x183BC96DBD0>,the azygoesophageal recess is deviated in which direction?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x846 at 0x183BC96DD10>,which direction is the azygoesophageal recess deviated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x183BC96DE50>,in which side is the hemidiaphragm elevated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1022 at 0x183BC96DF90>,which diaphragm is elevated?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC96E0D0>,does the image show pericolonic fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x183BC96E210>,is there pericolic fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x183BC96E350>,is this an image of the brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x183BC96E490>,is this mri with contrast or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x183BC96E5D0>,was this mri taken with or without contrast?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x183BC96E710>,are the pulmonary nodules diffuse in the chest or lateralized to one side?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x183BC96E850>,is there evidence of a right apical pneumothorax on this chest x-ray?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=861x913 at 0x183BC96E990>,is the location of the pulmonary nodules diffuse or lateralized to one side?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC96EAD0>,are the lesions only in one lobe?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=540x500 at 0x183BC96EC10>,are the opacities confined to one lung lobe?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC96ED50>,is the lesion in the image enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC96EE90>,is the mass contrast-enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC96EFD0>,where is the lesion located?,left cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x183BC96F110>,where is the abnormality in this image?,left cerebellum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x183BC96F250>,is the cortex atrophied?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=389x461 at 0x183BC96F390>,is there cortical atrophy?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x715 at 0x183BC96F4D0>,are these masses encompassing the aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x183BC96F610>,is a pneumothorax present near the right lung field?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x715 at 0x183BC96F750>,are the liver masses growing around the aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x183BC96F890>,is this a mid-sagittal film?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x870 at 0x183BC96F9D0>,is there free air under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x870 at 0x183BC96FB10>,is there air in the abdominal cavity?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x183BC96FC50>,is this an axial image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x183BC96FD90>,is a skull fracture present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x183BC96FED0>,is the skull fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC998050>,what are the hyperdensities on the periphery of the left side,ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183BC998190>,what are the foci of hyperdensities on the left?,ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x183BC9982D0>,where is the abnormality in this image?,choroid plexus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x183BC998410>,are the branches of the superior mesenteric arteries filled with contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=378x378 at 0x183BC998550>,where is the mass located?,lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x183BC998690>,is there free air under the diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x183BC9987D0>,is subdiaphragmatic free air present?,no
